,day,total,pred_total,differ
0,12-11,70159770,70156476.73333333,-3293.2666666656733
1,12-12,70812002,70803681.17575757,-8320.824242427945
2,12-13,71427591,71450885.61818182,23294.618181824684
3,12-14,72801500,72098090.06060606,-703409.9393939376
4,12-15,73295069,72745294.5030303,-549774.4969696999
